Question,Correct Answer
Poverty rate in Baldwin County,3.5
Unemployment rate in Baldwin County,2.9
Total population in Baldwin County,5883
Average income in Baldwin County,70132.0
Poverty rate in Baldwin County,10.3
Unemployment rate in Baldwin County,5.5
Total population in Baldwin County,9704
Average income in Baldwin County,55217.0
Poverty rate in Baldwin County,12.2
Unemployment rate in Baldwin County,5.6
Total population in Baldwin County,7499
Average income in Baldwin County,62684.0
Poverty rate in Baldwin County,12.5
Unemployment rate in Baldwin County,7.4
Total population in Baldwin County,5688
Average income in Baldwin County,49286.0
Poverty rate in Baldwin County,14.8
Unemployment rate in Baldwin County,2.9
Total population in Baldwin County,6342
Average income in Baldwin County,50411.0
Poverty rate in Baldwin County,16.1
Unemployment rate in Baldwin County,2.1
Total population in Baldwin County,8009
Average income in Baldwin County,45067.0
Poverty rate in Baldwin County,14.2
Unemployment rate in Baldwin County,1.1
Total population in Baldwin County,5473
Average income in Baldwin County,44804.0
Poverty rate in Baldwin County,12.6
Unemployment rate in Baldwin County,2.5
Total population in Baldwin County,4072
Average income in Baldwin County,35490.0
Poverty rate in Baldwin County,18.7
Unemployment rate in Baldwin County,5.3
Total population in Baldwin County,10485
Average income in Baldwin County,64486.0
Poverty rate in Baldwin County,5.7
Unemployment rate in Baldwin County,4.9
Total population in Baldwin County,4296
Average income in Baldwin County,62000.0
Poverty rate in Baldwin County,8.6
Unemployment rate in Baldwin County,4.6
Total population in Baldwin County,5136
Average income in Baldwin County,60846.0
Poverty rate in Baldwin County,21.2
Unemployment rate in Baldwin County,2.5
Total population in Baldwin County,6179
Average income in Baldwin County,52500.0
Poverty rate in Baldwin County,5.3
Unemployment rate in Baldwin County,12.4
Total population in Baldwin County,4710
Average income in Baldwin County,67917.0
Poverty rate in Baldwin County,9.8
Unemployment rate in Baldwin County,5.3
Total population in Baldwin County,10180
Average income in Baldwin County,51695.0
Poverty rate in Baldwin County,14.1
Unemployment rate in Baldwin County,7.2
Total population in Baldwin County,10050
Average income in Baldwin County,48245.0
Poverty rate in Baldwin County,10.1
Unemployment rate in Baldwin County,6.3
Total population in Baldwin County,4386
Average income in Baldwin County,78578.0
Poverty rate in Baldwin County,5.8
Unemployment rate in Baldwin County,5.6
Total population in Baldwin County,3331
Average income in Baldwin County,46833.0
Poverty rate in Baldwin County,7.5
Unemployment rate in Baldwin County,6.2
Total population in Baldwin County,5123
Average income in Baldwin County,45190.0
Poverty rate in Baldwin County,18.5
Unemployment rate in Baldwin County,7.8
Total population in Baldwin County,708
Average income in Baldwin County,54688.0
Poverty rate in Baldwin County,9.7
Unemployment rate in Baldwin County,29.4
Total population in Baldwin County,6334
Average income in Baldwin County,45561.0
Poverty rate in Baldwin County,14.5
Unemployment rate in Baldwin County,7.1
Total population in Baldwin County,11801
Average income in Baldwin County,37237.0
Poverty rate in Baldwin County,16.4
Unemployment rate in Baldwin County,12.3
Total population in Baldwin County,7131
Average income in Baldwin County,49900.0
Poverty rate in Baldwin County,22.4
Unemployment rate in Baldwin County,3.1
Total population in Baldwin County,5455
Average income in Baldwin County,47049.0
Poverty rate in Baldwin County,9.3
Unemployment rate in Baldwin County,5.3
Total population in Baldwin County,0
Average income in Baldwin County,nan
Poverty rate in Baldwin County,nan
Unemployment rate in Baldwin County,nan
Total population in Barbour County,3071
Average income in Barbour County,36595.0
Poverty rate in Barbour County,31.6
Unemployment rate in Barbour County,17.2
Total population in Barbour County,4291
Average income in Barbour County,31042.0
Poverty rate in Barbour County,28.8
Unemployment rate in Barbour County,16.4
Total population in Barbour County,1813
Average income in Barbour County,31442.0
Poverty rate in Barbour County,37.5
Unemployment rate in Barbour County,9.4
Total population in Barbour County,3721
Average income in Barbour County,32583.0
Poverty rate in Barbour County,17.7
Unemployment rate in Barbour County,5.7
Total population in Barbour County,3365
Average income in Barbour County,39458.0
Poverty rate in Barbour County,12.8
Unemployment rate in Barbour County,10.3
Total population in Barbour County,2120
Average income in Barbour County,26520.0
Poverty rate in Barbour County,35.8
Unemployment rate in Barbour County,7.6
Total population in Barbour County,1775
Average income in Barbour County,26250.0
Poverty rate in Barbour County,27.6
Unemployment rate in Barbour County,11.7
Total population in Barbour County,2157
Average income in Barbour County,39873.0
Poverty rate in Barbour County,25.4
Unemployment rate in Barbour County,12.4
Total population in Barbour County,3888
Average income in Barbour County,30697.0
Poverty rate in Barbour County,32.6
Unemployment rate in Barbour County,16.1
Total population in Bibb County,2643
Average income in Bibb County,47301.0
Poverty rate in Bibb County,6.9
Unemployment rate in Bibb County,11.5
Total population in Bibb County,6201
Average income in Bibb County,42061.0
Poverty rate in Bibb County,25.7
Unemployment rate in Bibb County,7.3
Total population in Bibb County,5032
Average income in Bibb County,52659.0
Poverty rate in Bibb County,11.4
Unemployment rate in Bibb County,10.9
Total population in Bibb County,8704
Average income in Bibb County,36687.0
Poverty rate in Bibb County,11.7
Unemployment rate in Bibb County,5.4
Total population in Blount County,7532
Average income in Blount County,45571.0
Poverty rate in Blount County,14.0
Unemployment rate in Blount County,5.0
Total population in Blount County,7285
Average income in Blount County,50142.0
Poverty rate in Blount County,15.1
Unemployment rate in Blount County,5.0
Total population in Blount County,3572
Average income in Blount County,45809.0
Poverty rate in Blount County,16.0
Unemployment rate in Blount County,3.1
Total population in Blount County,4937
Average income in Blount County,42120.0
Poverty rate in Blount County,26.7
Unemployment rate in Blount County,4.8
Total population in Blount County,4637
Average income in Blount County,37781.0
Poverty rate in Blount County,20.8
Unemployment rate in Blount County,3.7
Total population in Blount County,7526
Average income in Blount County,40518.0
Poverty rate in Blount County,19.5
Unemployment rate in Blount County,7.5
Total population in Blount County,4146
Average income in Blount County,48889.0
Poverty rate in Blount County,13.7
Unemployment rate in Blount County,4.4
Total population in Blount County,9317
Average income in Blount County,63266.0
Poverty rate in Blount County,6.2
Unemployment rate in Blount County,3.4
Total population in Blount County,8715
Average income in Blount County,42834.0
Poverty rate in Blount County,15.8
Unemployment rate in Blount County,6.0
Total population in Bullock County,1488
Average income in Bullock County,22266.0
Poverty rate in Bullock County,38.8
Unemployment rate in Bullock County,17.0
Total population in Bullock County,5608
Average income in Bullock County,27013.0
Poverty rate in Bullock County,32.7
Unemployment rate in Bullock County,7.6
Total population in Bullock County,3382
Average income in Bullock County,44417.0
Poverty rate in Bullock County,17.4
Unemployment rate in Bullock County,16.5
Total population in Butler County,2089
Average income in Butler County,32102.0
Poverty rate in Butler County,22.4
Unemployment rate in Butler County,4.4
Total population in Butler County,1284
Average income in Butler County,41713.0
Poverty rate in Butler County,16.1
Unemployment rate in Butler County,3.4
Total population in Butler County,2351
Average income in Butler County,45433.0
Poverty rate in Butler County,29.2
Unemployment rate in Butler County,6.3
Total population in Butler County,1523
Average income in Butler County,49107.0
Poverty rate in Butler County,17.3
Unemployment rate in Butler County,6.3
Total population in Butler County,3084
Average income in Butler County,28910.0
Poverty rate in Butler County,35.2
Unemployment rate in Butler County,13.9
Total population in Butler County,3957
Average income in Butler County,36096.0
Poverty rate in Butler County,18.9
Unemployment rate in Butler County,4.3
Total population in Butler County,1869
Average income in Butler County,48450.0
Poverty rate in Butler County,16.6
Unemployment rate in Butler County,7.0
Total population in Butler County,2695
Average income in Butler County,23472.0
Poverty rate in Butler County,26.6
Unemployment rate in Butler County,12.1
Total population in Butler County,1274
Average income in Butler County,24722.0
Poverty rate in Butler County,34.3
Unemployment rate in Butler County,14.5
Total population in Calhoun County,2488
Average income in Calhoun County,31875.0
Poverty rate in Calhoun County,27.8
Unemployment rate in Calhoun County,12.7
Total population in Calhoun County,2579
Average income in Calhoun County,19422.0
Poverty rate in Calhoun County,38.4
Unemployment rate in Calhoun County,23.1
Total population in Calhoun County,2810
Average income in Calhoun County,22165.0
Poverty rate in Calhoun County,39.8
Unemployment rate in Calhoun County,20.2
Total population in Calhoun County,1275
Average income in Calhoun County,15962.0
Poverty rate in Calhoun County,51.3
Unemployment rate in Calhoun County,11.7
Total population in Calhoun County,2005
Average income in Calhoun County,17946.0
Poverty rate in Calhoun County,53.0
Unemployment rate in Calhoun County,28.0
Total population in Calhoun County,2832
Average income in Calhoun County,32941.0
Poverty rate in Calhoun County,29.5
Unemployment rate in Calhoun County,14.3
Total population in Calhoun County,1197
Average income in Calhoun County,27212.0
Poverty rate in Calhoun County,30.2
Unemployment rate in Calhoun County,20.2
Total population in Calhoun County,3665
Average income in Calhoun County,35636.0
Poverty rate in Calhoun County,21.8
Unemployment rate in Calhoun County,5.1
Total population in Calhoun County,5965
Average income in Calhoun County,51683.0
Poverty rate in Calhoun County,9.9
Unemployment rate in Calhoun County,9.4
Total population in Calhoun County,7046
Average income in Calhoun County,53491.0
Poverty rate in Calhoun County,11.0
Unemployment rate in Calhoun County,12.5
Total population in Calhoun County,3184
Average income in Calhoun County,30051.0
Poverty rate in Calhoun County,30.7
Unemployment rate in Calhoun County,16.7
Total population in Calhoun County,4156
Average income in Calhoun County,50986.0
Poverty rate in Calhoun County,10.3
Unemployment rate in Calhoun County,8.4
Total population in Calhoun County,2112
Average income in Calhoun County,38359.0
Poverty rate in Calhoun County,17.4
Unemployment rate in Calhoun County,10.2
Total population in Calhoun County,3053
Average income in Calhoun County,37941.0
Poverty rate in Calhoun County,14.8
Unemployment rate in Calhoun County,11.1
Total population in Calhoun County,5218
Average income in Calhoun County,46351.0
Poverty rate in Calhoun County,18.7
Unemployment rate in Calhoun County,7.0
Total population in Calhoun County,3508
Average income in Calhoun County,38313.0
Poverty rate in Calhoun County,25.7
Unemployment rate in Calhoun County,16.5
Total population in Calhoun County,6821
Average income in Calhoun County,45000.0
Poverty rate in Calhoun County,13.4
Unemployment rate in Calhoun County,9.6
Total population in Calhoun County,6527
Average income in Calhoun County,50229.0
Poverty rate in Calhoun County,13.3
Unemployment rate in Calhoun County,12.7
Total population in Calhoun County,6962
Average income in Calhoun County,60818.0
Poverty rate in Calhoun County,9.4
Unemployment rate in Calhoun County,2.5
Total population in Calhoun County,3621
Average income in Calhoun County,22029.0
Poverty rate in Calhoun County,43.9
Unemployment rate in Calhoun County,8.7
Total population in Calhoun County,3208
Average income in Calhoun County,60306.0
Poverty rate in Calhoun County,11.8
Unemployment rate in Calhoun County,9.8
Total population in Calhoun County,7025
Average income in Calhoun County,38714.0
Poverty rate in Calhoun County,25.2
Unemployment rate in Calhoun County,15.8
Total population in Calhoun County,3378
Average income in Calhoun County,43750.0
Poverty rate in Calhoun County,17.2
Unemployment rate in Calhoun County,3.4
Total population in Calhoun County,3540
Average income in Calhoun County,28886.0
Poverty rate in Calhoun County,26.1
Unemployment rate in Calhoun County,9.0
Total population in Calhoun County,4652
Average income in Calhoun County,55110.0
Poverty rate in Calhoun County,16.5
Unemployment rate in Calhoun County,4.7
Total population in Calhoun County,7451
Average income in Calhoun County,63750.0
Poverty rate in Calhoun County,8.5
Unemployment rate in Calhoun County,5.4
Total population in Calhoun County,4618
Average income in Calhoun County,55174.0
Poverty rate in Calhoun County,10.0
Unemployment rate in Calhoun County,4.4
Total population in Calhoun County,4623
Average income in Calhoun County,53470.0
Poverty rate in Calhoun County,12.6
Unemployment rate in Calhoun County,8.5
Total population in Calhoun County,8
Average income in Calhoun County,nan
Poverty rate in Calhoun County,0.0
Unemployment rate in Calhoun County,nan
Total population in Calhoun County,0
Average income in Calhoun County,nan
Poverty rate in Calhoun County,nan
Unemployment rate in Calhoun County,nan
Total population in Calhoun County,0
Average income in Calhoun County,nan
Poverty rate in Calhoun County,nan
Unemployment rate in Calhoun County,nan
Total population in Chambers County,3655
Average income in Chambers County,39032.0
Poverty rate in Chambers County,28.6
Unemployment rate in Chambers County,6.2
Total population in Chambers County,2987
Average income in Chambers County,33564.0
Poverty rate in Chambers County,22.2
Unemployment rate in Chambers County,10.8
Total population in Chambers County,6392
Average income in Chambers County,32482.0
Poverty rate in Chambers County,15.3
Unemployment rate in Chambers County,3.9
Total population in Chambers County,3286
Average income in Chambers County,41607.0
Poverty rate in Chambers County,18.1
Unemployment rate in Chambers County,4.3
Total population in Chambers County,5102
Average income in Chambers County,45455.0
Poverty rate in Chambers County,14.1
Unemployment rate in Chambers County,3.1
Total population in Chambers County,850
Average income in Chambers County,35284.0
Poverty rate in Chambers County,19.3
Unemployment rate in Chambers County,4.5
Total population in Chambers County,3972
Average income in Chambers County,31776.0
Poverty rate in Chambers County,21.8
Unemployment rate in Chambers County,12.2
Total population in Chambers County,3056
Average income in Chambers County,36585.0
Poverty rate in Chambers County,15.7
Unemployment rate in Chambers County,8.4
Total population in Chambers County,4595
Average income in Chambers County,36455.0
Poverty rate in Chambers County,18.9
Unemployment rate in Chambers County,6.8
Total population in Cherokee County,3474
Average income in Cherokee County,39545.0
Poverty rate in Cherokee County,16.6
Unemployment rate in Cherokee County,4.6
Total population in Cherokee County,3632
Average income in Cherokee County,31960.0
Poverty rate in Cherokee County,25.0
Unemployment rate in Cherokee County,9.3
Total population in Cherokee County,5614
Average income in Cherokee County,46141.0
Poverty rate in Cherokee County,12.7
Unemployment rate in Cherokee County,6.0
Total population in Cherokee County,4126
Average income in Cherokee County,42911.0
Poverty rate in Cherokee County,19.4
Unemployment rate in Cherokee County,4.7
Total population in Cherokee County,4372
Average income in Cherokee County,39676.0
Poverty rate in Cherokee County,16.1
Unemployment rate in Cherokee County,5.0
Total population in Cherokee County,4637
Average income in Cherokee County,38183.0
Poverty rate in Cherokee County,10.3
Unemployment rate in Cherokee County,2.8
Total population in Chilton County,4381
Average income in Chilton County,43480.0
Poverty rate in Chilton County,17.3
Unemployment rate in Chilton County,10.7
Total population in Chilton County,7123
Average income in Chilton County,47664.0
Poverty rate in Chilton County,23.9
Unemployment rate in Chilton County,6.5
Total population in Chilton County,2748
Average income in Chilton County,47830.0
Poverty rate in Chilton County,17.3
Unemployment rate in Chilton County,2.4
Total population in Chilton County,3658
Average income in Chilton County,51045.0
Poverty rate in Chilton County,18.0
Unemployment rate in Chilton County,7.4
Total population in Chilton County,5599
Average income in Chilton County,45218.0
Poverty rate in Chilton County,18.5
Unemployment rate in Chilton County,10.0
Total population in Chilton County,8885
Average income in Chilton County,35299.0
Poverty rate in Chilton County,25.6
Unemployment rate in Chilton County,4.8
Total population in Chilton County,3043
Average income in Chilton County,53856.0
Poverty rate in Chilton County,15.8
Unemployment rate in Chilton County,9.5
Total population in Chilton County,3531
Average income in Chilton County,43375.0
Poverty rate in Chilton County,16.1
Unemployment rate in Chilton County,9.0
Total population in Chilton County,4837
Average income in Chilton County,41750.0
Poverty rate in Chilton County,11.3
Unemployment rate in Chilton County,1.1
Total population in Choctaw County,2972
Average income in Choctaw County,29211.0
Poverty rate in Choctaw County,27.1
Unemployment rate in Choctaw County,10.5
Total population in Choctaw County,4370
Average income in Choctaw County,31513.0
Poverty rate in Choctaw County,21.3
Unemployment rate in Choctaw County,6.6
Total population in Choctaw County,3553
Average income in Choctaw County,41522.0
Poverty rate in Choctaw County,11.3
Unemployment rate in Choctaw County,5.1
Total population in Choctaw County,2293
Average income in Choctaw County,27684.0
Poverty rate in Choctaw County,35.2
Unemployment rate in Choctaw County,23.5
Total population in Clarke County,1281
Average income in Clarke County,30435.0
Poverty rate in Clarke County,22.2
Unemployment rate in Clarke County,16.3
Total population in Clarke County,1122
Average income in Clarke County,43047.0
Poverty rate in Clarke County,22.0
Unemployment rate in Clarke County,5.1
Total population in Clarke County,5217
Average income in Clarke County,35313.0
Poverty rate in Clarke County,12.7
Unemployment rate in Clarke County,9.4
Total population in Clarke County,1362
Average income in Clarke County,33438.0
Poverty rate in Clarke County,31.6
Unemployment rate in Clarke County,25.0
Total population in Clarke County,4948
Average income in Clarke County,37631.0
Poverty rate in Clarke County,25.8
Unemployment rate in Clarke County,12.8
Total population in Clarke County,3830
Average income in Clarke County,30221.0
Poverty rate in Clarke County,23.5
Unemployment rate in Clarke County,22.8
Total population in Clarke County,4011
Average income in Clarke County,32734.0
Poverty rate in Clarke County,34.2
Unemployment rate in Clarke County,18.0
Total population in Clarke County,1219
Average income in Clarke County,42500.0
Poverty rate in Clarke County,27.7
Unemployment rate in Clarke County,6.7
Total population in Clarke County,1635
Average income in Clarke County,23125.0
Poverty rate in Clarke County,42.8
Unemployment rate in Clarke County,23.5
Total population in Clay County,5101
Average income in Clay County,39722.0
Poverty rate in Clay County,12.4
Unemployment rate in Clay County,4.8
Total population in Clay County,3251
Average income in Clay County,29844.0
Poverty rate in Clay County,31.7
Unemployment rate in Clay County,8.9
Total population in Clay County,2765
Average income in Clay County,34795.0
Poverty rate in Clay County,17.3
Unemployment rate in Clay County,5.6
Total population in Clay County,2290
Average income in Clay County,47449.0
Poverty rate in Clay County,18.7
Unemployment rate in Clay County,7.8
Total population in Cleburne County,2886
Average income in Cleburne County,41645.0
Poverty rate in Cleburne County,16.8
Unemployment rate in Cleburne County,2.9
Total population in Cleburne County,3837
Average income in Cleburne County,25526.0
Poverty rate in Cleburne County,30.1
Unemployment rate in Cleburne County,13.1
Total population in Cleburne County,3701
Average income in Cleburne County,38235.0
Poverty rate in Cleburne County,22.9
Unemployment rate in Cleburne County,9.0
Total population in Cleburne County,4515
Average income in Cleburne County,45457.0
Poverty rate in Cleburne County,8.6
Unemployment rate in Cleburne County,6.4
Total population in Coffee County,2242
Average income in Coffee County,41823.0
Poverty rate in Coffee County,20.7
Unemployment rate in Coffee County,4.3
Total population in Coffee County,1749
Average income in Coffee County,39907.0
Poverty rate in Coffee County,15.1
Unemployment rate in Coffee County,9.0
Total population in Coffee County,4912
Average income in Coffee County,57054.0
Poverty rate in Coffee County,10.7
Unemployment rate in Coffee County,6.3
Total population in Coffee County,1812
Average income in Coffee County,43488.0
Poverty rate in Coffee County,14.0
Unemployment rate in Coffee County,7.2
Total population in Coffee County,4547
Average income in Coffee County,35386.0
Poverty rate in Coffee County,25.3
Unemployment rate in Coffee County,7.9
Total population in Coffee County,1510
Average income in Coffee County,38125.0
Poverty rate in Coffee County,16.9
Unemployment rate in Coffee County,8.7
Total population in Coffee County,2299
Average income in Coffee County,51128.0
Poverty rate in Coffee County,14.3
Unemployment rate in Coffee County,2.8
Total population in Coffee County,2914
Average income in Coffee County,60787.0
Poverty rate in Coffee County,13.5
Unemployment rate in Coffee County,6.4
Total population in Coffee County,2219
Average income in Coffee County,39006.0
Poverty rate in Coffee County,22.1
Unemployment rate in Coffee County,7.8
Total population in Coffee County,3153
Average income in Coffee County,48125.0
Poverty rate in Coffee County,4.5
Unemployment rate in Coffee County,5.0
Total population in Coffee County,2095
Average income in Coffee County,47569.0
Poverty rate in Coffee County,18.3
Unemployment rate in Coffee County,13.0
Total population in Coffee County,8602
Average income in Coffee County,75487.0
Poverty rate in Coffee County,7.0
Unemployment rate in Coffee County,5.4
Total population in Coffee County,8498
Average income in Coffee County,49745.0
Poverty rate in Coffee County,15.9
Unemployment rate in Coffee County,3.7
Total population in Coffee County,4521
Average income in Coffee County,25505.0
Poverty rate in Coffee County,37.7
Unemployment rate in Coffee County,7.0
Total population in Colbert County,3480
Average income in Colbert County,36400.0
Poverty rate in Colbert County,23.2
Unemployment rate in Colbert County,6.9
Total population in Colbert County,2053
Average income in Colbert County,30893.0
Poverty rate in Colbert County,24.2
Unemployment rate in Colbert County,9.5
Total population in Colbert County,1840
Average income in Colbert County,21786.0
Poverty rate in Colbert County,46.7
Unemployment rate in Colbert County,7.8
Total population in Colbert County,1590
Average income in Colbert County,55388.0
Poverty rate in Colbert County,4.2
Unemployment rate in Colbert County,3.5
Total population in Colbert County,5828
Average income in Colbert County,54918.0
Poverty rate in Colbert County,18.2
Unemployment rate in Colbert County,13.1
Total population in Colbert County,3888
Average income in Colbert County,42059.0
Poverty rate in Colbert County,16.8
Unemployment rate in Colbert County,2.4
Total population in Colbert County,6247
Average income in Colbert County,61775.0
Poverty rate in Colbert County,9.9
Unemployment rate in Colbert County,5.4
Total population in Colbert County,4935
Average income in Colbert County,46375.0
Poverty rate in Colbert County,12.9
Unemployment rate in Colbert County,6.3
Total population in Colbert County,4716
Average income in Colbert County,52292.0
Poverty rate in Colbert County,10.6
Unemployment rate in Colbert County,7.2
Total population in Colbert County,4485
Average income in Colbert County,50139.0
Poverty rate in Colbert County,12.6
Unemployment rate in Colbert County,5.5
Total population in Colbert County,3724
Average income in Colbert County,41105.0
Poverty rate in Colbert County,17.3
Unemployment rate in Colbert County,11.0
Total population in Colbert County,4234
Average income in Colbert County,45308.0
Poverty rate in Colbert County,21.0
Unemployment rate in Colbert County,6.0
Total population in Colbert County,3533
Average income in Colbert County,50000.0
Poverty rate in Colbert County,15.9
Unemployment rate in Colbert County,4.7
Total population in Colbert County,3882
Average income in Colbert County,37788.0
Poverty rate in Colbert County,19.9
Unemployment rate in Colbert County,5.1
Total population in Conecuh County,2015
Average income in Conecuh County,36882.0
Poverty rate in Conecuh County,16.1
Unemployment rate in Conecuh County,4.3
Total population in Conecuh County,1640
Average income in Conecuh County,33839.0
Poverty rate in Conecuh County,18.2
Unemployment rate in Conecuh County,4.5
Total population in Conecuh County,3278
Average income in Conecuh County,28994.0
Poverty rate in Conecuh County,22.3
Unemployment rate in Conecuh County,15.0
Total population in Conecuh County,1948
Average income in Conecuh County,20647.0
Poverty rate in Conecuh County,26.3
Unemployment rate in Conecuh County,20.4
Total population in Conecuh County,3768
Average income in Conecuh County,32639.0
Poverty rate in Conecuh County,39.0
Unemployment rate in Conecuh County,19.8
Total population in Coosa County,3945
Average income in Coosa County,28962.0
Poverty rate in Coosa County,21.8
Unemployment rate in Coosa County,23.0
Total population in Coosa County,3581
Average income in Coosa County,45335.0
Poverty rate in Coosa County,13.1
Unemployment rate in Coosa County,1.6
Total population in Coosa County,3429
Average income in Coosa County,36023.0
Poverty rate in Coosa County,7.7
Unemployment rate in Coosa County,9.5
Total population in Covington County,4111
Average income in Covington County,53629.0
Poverty rate in Covington County,10.4
Unemployment rate in Covington County,7.7
Total population in Covington County,4462
Average income in Covington County,37409.0
Poverty rate in Covington County,15.2
Unemployment rate in Covington County,16.2
Total population in Covington County,3107
Average income in Covington County,40102.0
Poverty rate in Covington County,17.4
Unemployment rate in Covington County,10.8
Total population in Covington County,2227
Average income in Covington County,61282.0
Poverty rate in Covington County,7.7
Unemployment rate in Covington County,1.7
Total population in Covington County,3970
Average income in Covington County,33931.0
Poverty rate in Covington County,20.0
Unemployment rate in Covington County,15.5
Total population in Covington County,2044
Average income in Covington County,32903.0
Poverty rate in Covington County,24.3
Unemployment rate in Covington County,16.5
Total population in Covington County,3102
Average income in Covington County,39979.0
Poverty rate in Covington County,12.9
Unemployment rate in Covington County,4.8
Total population in Covington County,2875
Average income in Covington County,42407.0
Poverty rate in Covington County,10.7
Unemployment rate in Covington County,6.8
Total population in Covington County,1386
Average income in Covington County,34808.0
Poverty rate in Covington County,20.5
Unemployment rate in Covington County,11.0
Total population in Covington County,1526
Average income in Covington County,25520.0
Poverty rate in Covington County,49.7
Unemployment rate in Covington County,23.6
Total population in Covington County,1773
Average income in Covington County,27104.0
Poverty rate in Covington County,32.0
Unemployment rate in Covington County,20.1
Total population in Covington County,1842
Average income in Covington County,41047.0
Poverty rate in Covington County,16.3
Unemployment rate in Covington County,7.5
Total population in Covington County,1907
Average income in Covington County,49500.0
Poverty rate in Covington County,12.7
Unemployment rate in Covington County,5.4
Total population in Covington County,3187
Average income in Covington County,31327.0
Poverty rate in Covington County,20.7
Unemployment rate in Covington County,8.9
Total population in Crenshaw County,1953
Average income in Crenshaw County,40764.0
Poverty rate in Crenshaw County,7.5
Unemployment rate in Crenshaw County,2.8
Total population in Crenshaw County,2040
Average income in Crenshaw County,49375.0
Poverty rate in Crenshaw County,17.9
Unemployment rate in Crenshaw County,10.7
Total population in Crenshaw County,2890
Average income in Crenshaw County,29212.0
Poverty rate in Crenshaw County,19.0
Unemployment rate in Crenshaw County,6.4
Total population in Crenshaw County,3875
Average income in Crenshaw County,42372.0
Poverty rate in Crenshaw County,19.8
Unemployment rate in Crenshaw County,5.5
Total population in Crenshaw County,1657
Average income in Crenshaw County,35326.0
Poverty rate in Crenshaw County,17.8
Unemployment rate in Crenshaw County,7.5
Total population in Crenshaw County,1451
Average income in Crenshaw County,36364.0
Poverty rate in Crenshaw County,22.1
Unemployment rate in Crenshaw County,6.0
Total population in Cullman County,6076
Average income in Cullman County,35497.0
Poverty rate in Cullman County,17.5
Unemployment rate in Cullman County,8.3
Total population in Cullman County,7424
Average income in Cullman County,36756.0
Poverty rate in Cullman County,15.6
Unemployment rate in Cullman County,2.5
Total population in Cullman County,5022
Average income in Cullman County,52131.0
Poverty rate in Cullman County,13.4
Unemployment rate in Cullman County,6.1
Total population in Cullman County,4573
Average income in Cullman County,43305.0
Poverty rate in Cullman County,21.0
Unemployment rate in Cullman County,2.9
Total population in Cullman County,4613
Average income in Cullman County,41358.0
Poverty rate in Cullman County,14.9
Unemployment rate in Cullman County,6.0
Total population in Cullman County,3831
Average income in Cullman County,45896.0
Poverty rate in Cullman County,11.6
Unemployment rate in Cullman County,3.8
Total population in Cullman County,5272
Average income in Cullman County,55049.0
Poverty rate in Cullman County,12.3
Unemployment rate in Cullman County,6.5
Total population in Cullman County,4481
Average income in Cullman County,39068.0
Poverty rate in Cullman County,26.6
Unemployment rate in Cullman County,9.7
Total population in Cullman County,6526
Average income in Cullman County,49212.0
