TractId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
1001021000,Alabama,Autauga County,2796,1440,1356,0.8,71.5,25.7,0.8,0.0,0.0,2132,46607.0,2948.0,21482.0,2721.0,17.1,32.8,30.1,13.8,19.9,21.9,14.3,83.9,9.9,1.2,3.5,0.4,1.1,35.6,1202,75.4,19.0,5.7,0.0,6.0
1001021100,Alabama,Autauga County,3153,1487,1666,0.7,46.3,53.0,0.0,0.0,0.0,2513,36450.0,12224.0,23309.0,4648.0,18.6,22.2,19.4,21.9,29.6,10.0,19.1,80.5,13.7,0.0,0.4,3.2,2.1,31.8,1270,69.4,24.7,5.8,0.0,5.4
1003010100,Alabama,Baldwin County,3988,2170,1818,0.3,75.4,18.3,5.1,0.0,0.0,3258,41387.0,9150.0,21056.0,3467.0,10.5,8.3,28.4,21.8,21.0,13.1,15.6,92.4,4.3,0.4,0.0,2.1,0.7,39.3,1598,73.8,20.4,5.8,0.0,5.8
1003010200,Alabama,Baldwin County,3259,1522,1737,0.3,86.7,10.5,0.7,0.0,0.0,2304,33769.0,7589.0,20639.0,3994.0,26.5,48.2,17.8,22.2,25.3,11.3,23.4,93.8,2.5,0.2,0.8,2.8,0.0,29.0,1340,84.4,9.6,6.0,0.0,7.8
1003010300,Alabama,Baldwin County,9056,4378,4678,2.6,79.2,15.9,0.9,0.0,0.0,6505,49583.0,12703.0,23961.0,3308.0,6.0,3.9,33.6,16.4,22.6,8.8,18.6,79.1,15.3,0.0,0.8,1.2,3.7,31.1,3340,83.5,14.5,2.0,0.0,3.9
1003010400,Alabama,Baldwin County,4810,2436,2374,5.0,84.4,8.4,1.1,0.3,0.0,3418,47178.0,5626.0,25277.0,3864.0,10.4,8.9,32.1,14.3,21.2,17.6,14.7,84.3,9.9,0.0,1.6,3.1,1.2,29.5,2002,83.3,9.4,7.3,0.0,7.4
1003010500,Alabama,Baldwin County,5038,2750,2288,1.6,81.6,14.6,0.3,0.7,0.0,3853,41071.0,10328.0,22266.0,2059.0,18.6,33.4,33.3,17.9,25.2,10.2,13.3,91.6,3.7,0.0,0.2,0.0,4.5,23.6,1767,67.3,25.2,7.4,0.0,4.4
1003010600,Alabama,Baldwin County,3418,1682,1736,3.9,26.7,69.4,0.0,0.0,0.0,2393,27722.0,7776.0,16957.0,4622.0,29.8,41.2,16.3,24.7,22.5,11.6,24.9,87.4,6.0,0.0,1.5,1.5,3.6,19.2,1269,84.1,13.0,2.9,0.0,5.9
1003010701,Alabama,Baldwin County,8068,3966,4102,4.3,92.1,1.4,0.3,0.7,0.0,5942,80800.0,9357.0,40060.0,3297.0,3.5,0.8,56.0,8.3,21.3,6.8,7.5,91.8,2.8,0.0,0.9,0.4,4.1,26.4,3727,76.4,19.5,3.7,0.4,2.3
1003010703,Alabama,Baldwin County,17748,8863,8885,2.6,83.8,6.0,0.0,1.9,0.0,12479,87373.0,8542.0,36329.0,2805.0,3.5,2.0,49.7,9.9,24.5,6.8,9.1,87.6,5.3,0.3,0.3,1.6,5.0,30.7,8999,81.2,14.2,4.6,0.0,2.9
1003010704,Alabama,Baldwin County,5883,2799,3084,3.6,77.7,17.5,0.0,0.7,0.0,4055,70132.0,10800.0,27931.0,4300.0,10.3,10.2,41.6,12.3,28.9,7.4,9.7,87.6,6.9,0.0,0.0,1.1,4.3,29.4,2647,81.1,11.9,7.0,0.0,5.5
1003010705,Alabama,Baldwin County,9704,4754,4950,3.7,77.1,15.9,0.0,0.8,0.0,7529,55217.0,8222.0,28211.0,2828.0,12.2,14.6,34.0,20.1,32.9,4.1,8.8,95.1,1.7,0.0,0.0,0.5,2.7,27.9,5610,90.6,8.1,1.3,0.0,5.6
1003010800,Alabama,Baldwin County,7499,3754,3745,0.5,72.9,22.2,0.0,3.4,0.0,5655,62684.0,14104.0,36263.0,5691.0,12.5,12.3,41.3,14.1,23.1,3.8,17.7,88.6,5.2,1.5,0.1,0.0,4.6,24.2,3305,85.7,11.3,3.0,0.0,7.4
1003010903,Alabama,Baldwin County,5688,3144,2544,5.4,76.0,16.2,2.1,0.0,0.0,4558,49286.0,6815.0,19966.0,1535.0,14.8,11.9,25.2,19.5,31.7,12.7,10.9,88.4,7.4,0.0,0.8,1.2,2.2,34.1,2246,78.7,15.9,5.4,0.0,2.9
1003010904,Alabama,Baldwin County,6342,3239,3103,9.7,83.7,1.5,3.6,0.3,0.0,4818,50411.0,7448.0,24219.0,3538.0,16.1,26.3,24.1,22.8,24.6,17.2,11.2,81.4,5.9,0.0,0.0,6.8,6.0,31.3,2733,74.7,15.1,10.2,0.0,2.1
1003010905,Alabama,Baldwin County,8009,4107,3902,5.6,92.1,1.7,0.3,0.0,0.0,6276,45067.0,7295.0,24998.0,2908.0,14.2,17.4,17.8,17.4,29.3,18.4,17.1,81.5,5.5,0.0,1.7,0.5,10.7,25.1,4051,76.2,11.3,12.5,0.0,1.1
1003010906,Alabama,Baldwin County,5473,2543,2930,12.1,82.2,3.6,1.7,0.0,0.0,3767,44804.0,5353.0,19118.0,2862.0,12.6,17.0,24.0,17.8,22.9,18.0,17.2,85.3,12.5,0.0,0.4,0.0,1.7,27.5,2045,89.2,8.1,2.7,0.0,2.5
1003011000,Alabama,Baldwin County,4072,2134,1938,7.3,80.5,4.5,5.7,0.0,0.0,3295,35490.0,9090.0,21487.0,3299.0,18.7,27.8,21.7,31.9,23.1,7.7,15.6,75.0,12.4,0.0,3.8,0.2,8.6,22.4,1618,79.9,6.6,13.6,0.0,5.3
1003011101,Alabama,Baldwin County,10485,4676,5809,8.3,85.4,2.8,0.4,1.5,0.0,7493,64486.0,7729.0,31445.0,2958.0,5.7,6.5,40.8,26.0,22.8,3.2,7.2,84.5,6.2,0.0,2.2,1.1,6.0,22.7,4605,83.6,9.5,6.9,0.0,4.9
1003011102,Alabama,Baldwin County,4296,2012,2284,1.0,90.6,2.5,0.3,0.0,0.0,3046,62000.0,10298.0,30010.0,3542.0,8.6,8.4,44.0,13.0,24.4,11.3,7.3,85.3,3.5,0.0,0.5,1.6,9.1,27.0,1865,83.8,10.9,5.3,0.0,4.6
1003011201,Alabama,Baldwin County,5136,2652,2484,2.2,87.3,9.9,0.0,0.6,0.0,3508,60846.0,6671.0,42951.0,9576.0,21.2,36.3,42.7,19.6,20.8,7.3,9.5,78.6,12.6,0.0,1.6,0.4,6.8,24.3,1865,78.6,11.5,9.9,0.0,2.5
1003011202,Alabama,Baldwin County,6179,2706,3473,1.0,73.4,25.0,0.3,0.0,0.0,4606,52500.0,7488.0,31684.0,7666.0,5.3,4.1,42.3,18.1,28.2,5.0,6.4,81.5,2.5,0.6,1.7,2.3,11.4,24.6,2231,69.9,25.5,3.9,0.6,12.4
1003011300,Alabama,Baldwin County,4710,2154,2556,0.7,94.4,4.3,0.3,0.0,0.0,3714,67917.0,13501.0,41307.0,7123.0,9.8,17.9,29.8,14.7,32.9,14.2,8.4,73.9,16.1,0.0,1.1,0.4,8.5,31.4,2235,85.0,7.9,7.2,0.0,5.3
1003011401,Alabama,Baldwin County,10180,5420,4760,7.3,82.2,6.4,0.3,0.9,0.0,8051,51695.0,6903.0,27154.0,3036.0,14.1,26.1,37.1,19.9,21.3,12.0,9.8,80.5,13.9,0.0,0.1,0.2,5.4,29.4,4695,84.5,8.8,6.7,0.0,7.2
1003011403,Alabama,Baldwin County,10050,4533,5517,6.6,89.3,2.7,1.4,0.0,0.0,8596,48245.0,6941.0,39221.0,7245.0,10.1,7.8,43.4,20.1,24.1,6.7,5.7,80.2,11.8,0.0,0.0,0.7,7.3,22.3,4572,81.2,15.2,3.6,0.0,6.3
1003011405,Alabama,Baldwin County,4386,2253,2133,1.2,96.4,0.9,0.0,0.5,0.0,3761,78578.0,13495.0,49825.0,6850.0,5.8,6.3,45.6,14.4,26.0,6.8,7.2,78.4,7.6,0.0,1.0,2.0,11.0,25.9,1836,82.6,9.6,7.7,0.0,5.6
1003011406,Alabama,Baldwin County,3331,1599,1732,1.9,93.7,0.0,0.8,0.3,0.0,2704,46833.0,10361.0,31501.0,4783.0,7.5,11.4,30.1,25.7,25.8,12.5,5.8,83.7,5.1,0.0,0.0,1.0,10.3,20.0,1738,80.4,14.2,5.5,0.0,6.2
1003011407,Alabama,Baldwin County,5123,2479,2644,2.5,95.5,0.0,0.0,2.0,0.0,4746,45190.0,11667.0,35658.0,6568.0,18.5,13.7,29.9,25.8,30.6,9.5,4.2,74.5,13.6,0.0,0.0,3.8,8.0,26.0,2247,83.2,7.2,9.6,0.0,7.8
1003011408,Alabama,Baldwin County,708,294,414,0.0,100.0,0.0,0.0,0.0,0.0,673,54688.0,25726.0,40487.0,12336.0,9.7,0.0,29.6,7.3,43.3,16.2,3.6,73.3,6.8,0.0,1.7,3.8,14.4,31.5,247,81.8,6.9,11.3,0.0,29.4
1003011501,Alabama,Baldwin County,6334,3109,3225,4.4,80.8,11.1,0.0,1.8,0.0,5208,45561.0,11450.0,23525.0,2768.0,14.5,31.8,40.3,16.9,23.3,8.7,10.8,79.8,13.0,0.0,0.7,1.1,5.5,21.1,3004,71.3,18.1,10.5,0.0,7.1
1003011502,Alabama,Baldwin County,11801,5237,6564,5.4,77.4,15.4,0.5,0.0,0.0,9122,37237.0,7703.0,21138.0,2206.0,16.4,37.6,30.4,20.8,32.8,13.2,2.9,84.0,8.8,0.0,2.4,0.0,4.9,21.5,4873,78.9,14.9,6.3,0.0,12.3
1003011601,Alabama,Baldwin County,7131,3699,3432,9.7,87.6,1.4,0.7,0.1,0.0,5232,49900.0,9397.0,21858.0,3270.0,22.4,35.1,25.4,23.9,22.6,11.3,16.7,83.4,7.4,0.0,0.5,0.3,8.4,29.3,3260,76.8,9.5,13.5,0.2,3.1
1003011602,Alabama,Baldwin County,5455,2463,2992,3.7,94.5,0.6,0.7,0.3,0.0,4811,47049.0,5810.0,26550.0,3047.0,9.3,8.1,28.9,19.0,23.8,13.5,14.8,93.8,2.9,0.0,0.0,0.2,3.1,31.0,1957,79.3,12.3,7.5,1.0,5.3
1003990000,Alabama,Baldwin County,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,
1005950100,Alabama,Barbour County,3071,1422,1649,0.0,52.0,47.3,0.7,0.0,0.0,2343,36595.0,14620.0,20156.0,3082.0,31.6,59.5,28.1,19.7,31.4,3.7,17.1,84.6,8.2,0.0,3.4,2.8,1.0,23.7,1107,75.2,15.7,7.8,1.4,17.2
1005950200,Alabama,Barbour County,4291,2835,1456,2.0,34.6,61.9,0.4,0.2,0.0,3816,31042.0,7933.0,13650.0,1658.0,28.8,51.4,17.3,24.2,19.0,13.4,26.2,82.7,13.4,0.0,2.6,0.6,0.8,29.1,1047,69.2,27.0,3.7,0.0,16.4
1005950300,Alabama,Barbour County,1813,892,921,3.5,43.8,50.8,0.0,0.0,0.0,1374,31442.0,7863.0,17071.0,3592.0,37.5,75.1,17.0,16.2,14.9,17.0,34.7,76.9,13.0,0.0,5.4,3.1,1.6,24.5,616,79.5,16.6,3.9,0.0,9.4
1005950400,Alabama,Barbour County,3721,2336,1385,6.8,53.9,38.9,0.2,0.0,0.0,3103,32583.0,7099.0,15232.0,1909.0,17.7,32.4,37.4,9.2,16.7,20.7,16.0,82.7,8.2,2.1,5.2,1.7,0.0,30.5,1052,72.1,17.4,10.0,0.6,5.7
1005950500,Alabama,Barbour County,3365,1713,1652,4.2,69.2,18.0,0.0,0.9,0.0,2539,39458.0,6237.0,19831.0,2334.0,12.8,11.6,19.8,12.7,26.6,18.3,22.6,77.0,14.9,0.0,0.6,2.4,5.1,24.5,1276,79.0,11.6,9.4,0.0,10.3
1005950600,Alabama,Barbour County,2120,993,1127,10.3,48.2,39.9,0.0,0.0,0.0,1437,26520.0,4269.0,13426.0,2151.0,35.8,58.4,10.9,21.6,30.8,6.3,30.4,89.9,8.0,0.0,0.0,0.9,1.2,16.4,828,84.2,12.9,2.4,0.5,7.6
1005950700,Alabama,Barbour County,1775,767,1008,0.0,41.8,57.9,0.0,0.0,0.0,1395,26250.0,9559.0,20431.0,3181.0,27.6,40.5,28.3,19.9,23.6,7.8,20.4,87.6,7.2,0.0,5.2,0.0,0.0,13.6,618,72.8,23.3,3.9,0.0,11.7
1005950800,Alabama,Barbour County,2157,1045,1112,2.2,42.7,54.0,0.0,0.9,0.0,1560,39873.0,7893.0,22955.0,3930.0,25.4,40.4,43.0,18.6,10.7,8.9,18.9,89.8,9.3,0.0,0.0,0.0,0.9,19.5,901,56.8,34.9,8.3,0.0,12.4
1005950900,Alabama,Barbour County,3888,1973,1915,7.5,28.0,62.0,0.0,2.4,0.0,2702,30697.0,7705.0,18273.0,2644.0,32.6,48.9,22.7,13.5,24.9,7.0,31.8,82.4,14.3,0.0,0.0,2.9,0.4,22.9,1433,77.0,17.1,5.9,0.0,16.1
1007010001,Alabama,Bibb County,2643,1370,1273,3.0,90.9,6.2,0.0,0.0,0.0,1952,47301.0,8709.0,20625.0,3057.0,6.9,9.1,31.7,8.2,16.6,16.9,26.6,85.4,7.0,0.0,1.7,2.9,2.9,36.8,845,84.1,12.7,0.0,3.2,11.5
1007010002,Alabama,Bibb County,6201,3093,3108,2.6,91.9,4.7,0.3,0.0,0.0,4479,42061.0,5819.0,20413.0,2459.0,25.7,41.6,19.1,13.8,15.2,21.4,30.5,92.6,3.9,0.3,0.0,1.1,2.2,30.1,2174,79.2,13.7,7.1,0.0,7.3
1007010003,Alabama,Bibb County,5032,2546,2486,0.0,81.2,17.7,1.0,0.0,0.0,3935,52659.0,11482.0,30141.0,8855.0,11.4,26.1,30.2,16.8,25.4,9.8,17.7,84.5,12.4,0.9,0.0,0.6,1.7,30.9,2311,75.6,16.7,7.7,0.0,10.9
1007010004,Alabama,Bibb County,8704,5242,3462,3.3,53.6,41.6,0.2,0.0,0.0,7296,36687.0,6388.0,16017.0,2233.0,11.7,16.9,21.4,24.0,19.3,16.3,18.9,83.3,12.4,0.9,0.3,2.8,0.3,27.0,2841,71.3,22.2,6.5,0.0,5.4
1009050101,Alabama,Blount County,7532,3727,3805,14.1,78.8,4.2,0.0,0.0,0.0,5495,45571.0,6674.0,22599.0,2512.0,14.0,22.1,28.5,15.6,18.2,11.9,25.8,87.5,9.6,0.0,1.6,0.0,1.3,30.8,3009,87.5,8.7,3.7,0.0,5.0
1009050102,Alabama,Blount County,7285,3483,3802,17.0,76.3,4.0,0.0,0.0,0.0,5091,50142.0,4969.0,27238.0,5117.0,15.1,32.8,40.8,8.5,16.9,19.1,14.7,83.7,15.1,0.0,0.0,0.0,1.3,33.5,2746,82.8,13.7,3.5,0.0,5.0
1009050200,Alabama,Blount County,3572,1741,1831,18.3,80.5,0.1,0.0,0.1,0.0,2473,45809.0,10492.0,19783.0,1871.0,16.0,23.4,27.5,18.6,15.6,12.8,25.6,91.1,6.4,0.0,1.3,0.0,1.1,35.1,1493,86.0,9.8,3.5,0.6,3.1
1009050300,Alabama,Blount County,4937,2489,2448,19.9,76.5,0.0,1.5,0.1,0.0,3432,42120.0,8345.0,17880.0,1746.0,26.7,48.2,23.7,10.8,23.2,20.9,21.5,91.7,4.0,0.0,0.0,1.0,3.3,35.8,1568,81.1,14.7,4.2,0.0,4.8
1009050400,Alabama,Blount County,4637,2269,2368,7.8,90.6,0.0,0.3,0.2,0.0,3347,37781.0,8035.0,20022.0,3184.0,20.8,33.7,27.5,11.8,25.0,19.2,16.5,91.9,6.4,0.3,0.0,0.0,1.4,31.6,1685,81.4,13.0,5.6,0.0,3.7
1009050500,Alabama,Blount County,7526,3718,3808,7.1,90.3,0.9,0.4,0.1,0.0,5646,40518.0,6366.0,19705.0,2308.0,19.5,21.2,28.7,9.0,25.3,17.9,19.1,80.9,15.8,0.0,0.8,0.4,2.1,35.8,2466,85.2,11.0,3.7,0.0,7.5
1009050601,Alabama,Blount County,4146,2313,1833,1.1,95.0,1.1,0.2,0.0,0.0,3106,48889.0,11345.0,21900.0,2204.0,13.7,17.1,23.1,16.9,27.0,17.9,15.1,91.0,6.7,1.5,0.3,0.4,0.0,37.7,1573,78.0,18.0,4.0,0.0,4.4
1009050602,Alabama,Blount County,9317,4442,4875,1.2,96.3,1.3,0.1,0.4,0.0,7130,63266.0,6402.0,26436.0,1955.0,6.2,8.7,33.4,12.1,26.5,13.1,15.0,84.0,12.2,0.0,0.0,0.7,3.1,36.9,4007,82.5,12.5,5.0,0.0,3.4
1009050700,Alabama,Blount County,8715,4308,4407,2.3,95.5,0.4,0.7,0.3,0.0,6793,42834.0,4160.0,18823.0,1741.0,15.8,29.6,16.4,15.5,30.0,14.0,23.9,87.9,7.9,0.0,0.0,0.6,3.6,37.9,2833,87.2,9.0,3.0,0.7,6.0
1011952100,Alabama,Bullock County,1488,702,786,0.0,5.8,93.1,0.0,1.1,0.0,1129,22266.0,4557.0,14187.0,2413.0,38.8,77.7,20.7,26.9,13.2,4.5,34.8,61.2,27.1,0.0,0.0,3.6,8.1,29.1,469,86.4,12.2,1.5,0.0,17.0
1011952200,Alabama,Bullock County,5608,2860,2748,0.6,19.9,78.4,0.0,1.0,0.0,4193,27013.0,9159.0,18404.0,2901.0,32.7,50.5,15.9,16.7,17.2,17.8,32.4,74.8,15.1,0.0,10.1,0.0,0.0,22.3,2238,80.4,18.1,1.4,0.0,7.6
1011952500,Alabama,Bullock County,3382,2054,1328,0.0,31.4,63.3,3.3,0.0,0.0,2890,44417.0,6638.0,27855.0,5923.0,17.4,30.1,24.8,14.7,22.2,11.6,26.7,74.2,13.1,0.7,2.5,3.7,5.8,41.1,1583,81.3,7.7,11.0,0.0,16.5
1013952700,Alabama,Butler County,2089,866,1223,0.0,55.6,42.8,0.0,0.8,0.0,1729,32102.0,17194.0,22406.0,3359.0,22.4,36.0,28.9,17.9,22.8,12.6,17.8,88.7,8.9,0.0,2.5,0.0,0.0,22.3,892,88.9,8.7,2.4,0.0,4.4
1013952800,Alabama,Butler County,1284,528,756,0.0,65.4,30.0,0.0,0.0,0.0,1045,41713.0,9506.0,24210.0,2743.0,16.1,19.2,42.0,10.6,21.7,13.7,11.9,85.4,6.7,0.0,1.5,1.5,4.9,22.9,621,71.5,25.4,3.1,0.0,3.4
1013952900,Alabama,Butler County,2351,1259,1092,1.4,41.0,53.0,0.0,3.6,0.0,1675,45433.0,5954.0,19930.0,3338.0,29.2,45.5,38.9,17.8,6.2,13.4,23.8,83.2,13.6,0.0,0.9,1.3,0.9,22.8,985,73.7,16.0,10.1,0.2,6.3
1013953000,Alabama,Butler County,1523,792,731,0.9,57.5,32.0,0.0,6.0,0.0,1227,49107.0,16282.0,23753.0,3589.0,17.3,35.1,18.8,9.6,19.2,8.0,44.5,76.6,20.8,0.0,0.0,2.5,0.0,24.5,762,79.8,15.5,4.7,0.0,6.3
1013953100,Alabama,Butler County,3084,1393,1691,0.0,21.1,76.7,0.0,0.0,0.0,2288,28910.0,6860.0,13871.0,1727.0,35.2,58.3,19.2,26.6,24.3,3.8,26.1,82.1,15.7,0.0,0.0,1.7,0.4,17.0,1049,86.8,12.8,0.0,0.4,13.9
1013953200,Alabama,Butler County,3957,1745,2212,0.3,61.8,37.6,0.0,0.0,0.0,2880,36096.0,7536.0,18514.0,2310.0,18.9,20.2,24.9,14.1,15.9,12.7,32.4,84.9,10.8,0.0,0.5,0.5,3.3,24.8,1543,76.8,18.1,5.1,0.0,4.3
1013953300,Alabama,Butler County,1869,896,973,0.5,89.4,8.2,0.0,0.0,0.0,1511,48450.0,10324.0,23914.0,4637.0,16.6,7.8,25.3,11.8,22.7,23.2,17.1,88.5,6.2,0.0,0.8,0.6,3.9,26.5,772,77.2,13.2,9.6,0.0,7.0
1013953400,Alabama,Butler County,2695,1418,1277,0.0,36.8,61.7,0.3,1.2,0.0,2113,23472.0,3660.0,15485.0,1968.0,26.6,40.1,27.3,22.7,23.2,7.6,19.2,80.4,15.5,0.0,1.4,0.0,2.7,23.9,719,78.4,11.5,7.6,2.4,12.1
1013953500,Alabama,Butler County,1274,519,755,0.0,72.1,24.9,0.5,0.0,0.0,991,24722.0,10051.0,14979.0,2119.0,34.3,37.5,14.3,29.9,10.9,10.4,34.4,76.6,19.5,0.0,1.2,0.0,2.7,27.6,384,73.4,18.5,8.1,0.0,14.5
1015000200,Alabama,Calhoun County,2488,1308,1180,1.1,40.4,56.8,0.3,1.4,0.0,2204,31875.0,11918.0,20638.0,2900.0,27.8,60.0,25.5,25.3,19.2,0.8,29.2,76.8,10.9,0.0,3.6,1.8,6.9,24.0,1031,73.4,24.9,1.6,0.0,12.7
1015000300,Alabama,Calhoun County,2579,1160,1419,4.9,18.7,76.3,0.0,0.0,0.0,1939,19422.0,3149.0,16782.0,3277.0,38.4,56.9,14.3,30.7,26.3,9.0,19.7,76.8,20.1,1.2,1.9,0.0,0.0,16.9,824,74.9,21.5,3.6,0.0,23.1
1015000400,Alabama,Calhoun County,2810,1230,1580,1.4,26.8,68.1,0.0,0.6,0.2,2074,22165.0,4566.0,13843.0,2165.0,39.8,60.5,19.9,17.2,26.7,2.4,33.7,80.9,19.1,0.0,0.0,0.0,0.0,27.7,748,78.1,17.2,4.7,0.0,20.2
1015000500,Alabama,Calhoun County,1275,459,816,4.5,3.5,90.3,0.0,0.0,0.0,943,15962.0,2159.0,12807.0,2640.0,51.3,82.5,4.8,29.2,14.0,7.3,44.7,80.9,15.4,0.0,0.0,3.7,0.0,22.2,356,73.9,24.7,1.4,0.0,11.7
1015000600,Alabama,Calhoun County,2005,997,1008,0.2,22.3,66.6,0.0,0.0,0.0,1586,17946.0,7756.0,13458.0,2732.0,53.0,81.9,17.5,31.6,16.2,8.4,26.3,76.5,16.3,1.5,0.0,0.0,5.7,19.3,475,93.5,6.5,0.0,0.0,28.0
1015000700,Alabama,Calhoun County,2832,1312,1520,4.4,48.9,32.6,0.0,3.8,0.0,2155,32941.0,12153.0,19170.0,2349.0,29.5,52.4,26.3,26.8,20.2,7.7,19.0,80.3,7.9,1.4,6.8,0.0,3.6,22.0,982,93.1,3.8,3.2,0.0,14.3
1015000800,Alabama,Calhoun County,1197,470,727,0.0,47.4,47.3,0.0,0.0,0.0,906,27212.0,7897.0,18236.0,5020.0,30.2,38.1,28.1,25.3,19.8,4.5,22.2,58.3,25.0,0.0,12.5,1.7,2.4,15.9,288,84.7,12.8,2.4,0.0,20.2
1015000900,Alabama,Calhoun County,3665,1515,2150,0.4,72.6,22.7,0.1,1.7,0.0,2864,35636.0,7877.0,28888.0,4382.0,21.8,35.9,38.3,11.0,32.9,2.3,15.4,82.6,7.6,0.0,2.3,1.0,6.6,24.4,1476,79.7,10.7,9.6,0.0,5.1
1015001000,Alabama,Calhoun County,5965,2820,3145,5.8,62.2,26.4,0.0,3.7,0.0,4714,51683.0,7658.0,31091.0,5842.0,9.9,16.2,35.2,17.8,18.3,6.1,22.6,80.2,10.6,0.0,0.1,2.1,7.0,27.2,2755,80.8,18.4,0.8,0.0,9.4
1015001100,Alabama,Calhoun County,7046,3145,3901,11.0,71.4,17.6,0.0,0.0,0.0,4966,53491.0,10580.0,26344.0,3819.0,11.0,13.6,32.2,16.1,22.9,8.2,20.6,90.5,7.7,0.0,1.0,0.0,0.7,20.1,3149,76.1,19.6,4.3,0.0,12.5
1015001201,Alabama,Calhoun County,3184,1567,1617,5.5,52.0,38.8,0.0,1.7,0.0,2469,30051.0,6437.0,17772.0,2159.0,30.7,52.3,21.6,28.5,17.9,15.1,16.9,81.7,15.4,0.5,0.9,1.0,0.4,22.0,1169,74.0,17.3,8.7,0.0,16.7
1015001202,Alabama,Calhoun County,4156,2018,2138,12.0,71.0,13.4,0.0,2.6,0.0,2951,50986.0,5299.0,22876.0,2479.0,10.3,11.2,32.0,17.3,20.7,11.0,19.1,89.6,8.3,0.0,0.0,1.2,0.8,23.8,1862,73.8,20.6,5.5,0.0,8.4
1015001300,Alabama,Calhoun County,2112,1018,1094,4.4,95.3,0.0,0.3,0.0,0.0,1699,38359.0,7223.0,18988.0,3973.0,17.4,27.4,14.8,19.4,21.6,14.9,29.3,82.8,12.4,0.0,1.9,2.8,0.0,22.6,798,85.8,10.0,4.1,0.0,10.2
